Multi Channel Analyzer Raw Data
Version: 1

Channel: 86
[s]	[µV]
0.3857	-58.712698
0.3858	-51.948622
0.3859	-48.087138
0.386	-44.562562
0.3861	-36.9303
0.3862	-30.179182
0.3863	-43.914662
0.3864	-41.245314
0.3865	-50.199292
0.3866	-44.951302
0.3867	-29.777484
0.3868	-52.428068
0.3869	-47.23191
0.387	-44.484814
0.3871	-33.36685
0.3872	-39.806976
0.3873	-34.960684
0.3874	-29.323954
0.3875	-25.33289
0.3876	-12.582218
0.3877	-23.052282
0.3878	-41.828424
0.3879	-44.329318
0.388	-37.163544
0.3881	-30.282846
0.3882	-34.895894
0.3883	-29.971854
0.3884	-26.797144
0.3885	-30.593838
0.3886	-26.43432
0.3887	-31.513856
0.3888	-38.368638
0.3889	-20.071942
0.389	-9.290886
0.3891	-23.829762
0.3892	-34.183204
0.3893	-29.181416
0.3894	-17.985704
0.3895	-9.290886
0.3896	-6.440126
0.3897	-20.033068
0.3898	-9.148348
0.3899	-10.534854
0.39	-17.36372
0.3901	-19.17784
0.3902	-22.261844
0.3903	-0.803396
0.3904	-16.884274
0.3905	-19.877572
0.3906	-16.00313
0.3907	-0.479446
0.3908	-18.452192
0.3909	-13.191244
0.391	-4.949956
0.3911	-14.564792
0.3912	-9.537088
0.3913	6.815908
0.3914	7.891422
0.3915	-14.292674
0.3916	-14.694372
0.3917	-1.645666
0.3918	-4.79446
0.3919	-5.014746
0.392	3.874442
0.3921	14.940574
0.3922	10.068366
0.3923	5.222074
0.3924	16.054962
0.3925	20.071942
0.3926	7.282396
0.3927	17.480342
0.3928	22.637626
0.3929	-1.632708
0.393	4.768544
0.3931	18.892764
0.3932	15.29044
0.3933	2.319482
0.3934	14.176052
0.3935	11.0143
0.3936	7.96917
0.3937	17.143434
0.3938	5.908848
0.3939	1.516086
0.394	11.610368
0.3941	29.207332
0.3942	20.914212
0.3943	25.630924
0.3944	25.59205
0.3945	32.498664
0.3946	26.926724
0.3947	16.8454
0.3948	19.670244
0.3949	24.063006
0.395	19.69616
0.3951	7.606346
0.3952	14.616624
0.3953	30.749334
0.3954	24.335124
0.3955	11.895444
0.3956	22.728332
0.3957	35.012516
0.3958	21.497322
0.3959	14.137178
0.396	17.03977
0.3961	22.909744
0.3962	24.853444
0.3963	31.669352
0.3964	27.717162
0.3965	36.399022
0.3966	33.392766
0.3967	23.233694
0.3968	11.584452
0.3969	19.009386
0.397	8.824398
0.3971	15.80876
0.3972	13.424488
0.3973	17.907956
0.3974	22.508046
0.3975	9.627794
0.3976	4.936998
0.3977	21.96381
0.3978	36.295358
0.3979	18.802058
0.398	15.238608
0.3981	8.344952
0.3982	2.954424
0.3983	7.463808
0.3984	5.986596
0.3985	-10.49598
0.3986	-23.51877
0.3987	-0.116622
