Multi Channel Analyzer Raw Data
Version: 1

Channel: 17
[s]	[µV]
0.4231	257.708704
0.4232	260.339178
0.4233	247.458926
0.4234	249.532206
0.4235	252.719874
0.4236	254.546952
0.4237	244.945074
0.4238	239.541588
0.4239	228.047842
0.424	238.090292
0.4241	237.97367
0.4242	230.380282
0.4243	237.52014
0.4244	259.574656
0.4245	256.024164
0.4246	243.02729
0.4247	249.24713
0.4248	261.375818
0.4249	266.118446
0.425	254.378498
0.4251	245.411562
0.4252	260.65017
0.4253	262.904862
0.4254	245.865092
0.4255	234.850792
0.4256	249.05276
0.4257	261.634978
0.4258	257.319964
0.4259	241.912902
0.426	253.834262
0.4261	239.33426
0.4262	223.642122
0.4263	250.67251
0.4264	241.73149
0.4265	241.21317
0.4266	257.384754
0.4267	253.471438
0.4268	229.74534
0.4269	218.445964
0.427	238.582696
0.4271	240.56527
0.4272	237.90888
0.4273	248.806558
0.4274	236.042928
0.4275	232.246234
0.4276	247.484842
0.4277	239.424966
0.4278	228.307002
0.4279	220.286
0.428	217.901728
0.4281	219.651058
0.4282	220.856152
0.4283	212.498242
0.4284	212.433452
0.4285	210.878492
0.4286	202.054094
0.4287	184.146138
0.4288	201.807892
0.4289	212.174292
0.429	206.511646
0.4291	194.69395
0.4292	200.732378
0.4293	204.101458
0.4294	197.233718
0.4295	201.406194
0.4296	199.216292
0.4297	193.644352
0.4298	195.808338
0.4299	193.151948
0.43	202.844532
0.4301	183.316826
0.4302	182.57822
0.4303	175.438362
0.4304	172.678308
0.4305	193.242654
0.4306	190.910214
0.4307	180.802974
0.4308	179.27393
0.4309	176.55275
0.431	172.743098
0.4311	175.891892
0.4312	172.27661
0.4313	177.796718
0.4314	179.779292
0.4315	160.083132
0.4316	167.87089
0.4317	163.374464
0.4318	160.018342
0.4319	162.467404
0.432	156.234606
0.4321	162.765438
0.4322	173.080006
0.4323	164.877592
0.4324	147.26767
0.4325	143.807884
0.4326	158.903954
0.4327	155.975446
0.4328	135.683218
0.4329	139.661324
0.433	146.29582
0.4331	137.069724
0.4332	146.982594
0.4333	142.771244
0.4334	155.159092
0.4335	148.343184
0.4336	138.430314
0.4337	139.803862
0.4338	144.235498
0.4339	147.863738
0.434	138.32665
0.4341	135.592512
0.4342	132.521466
0.4343	132.378928
0.4344	134.296712
0.4345	121.040678
0.4346	124.20243
0.4347	137.29001
0.4348	135.164898
0.4349	128.854352
0.435	129.307882
0.4351	131.705112
0.4352	127.31235
0.4353	119.524592
0.4354	120.198408
0.4355	130.694388
0.4356	128.167578
0.4357	130.020572
0.4358	126.53487
0.4359	136.097874
0.436	130.849884
0.4361	132.314138
0.4362	128.556318
0.4363	126.172046
0.4364	150.481254
0.4365	141.553192
0.4366	125.355692
0.4367	129.994656
0.4368	142.810118
0.4369	133.998678
0.437	116.764538
0.4371	120.172492
0.4372	123.204664
0.4373	111.037102
0.4374	127.804754
0.4375	122.051402
0.4376	122.271688
0.4377	130.707346
0.4378	147.552746
0.4379	139.130046
0.438	138.222986
0.4381	146.762308
0.4382	138.171154
0.4383	130.629598
0.4384	144.080002
0.4385	158.294928
0.4386	133.234156
0.4387	143.276606
0.4388	164.385188
0.4389	161.962042
0.439	156.493766
0.4391	153.344972
0.4392	147.345418
0.4393	144.235498
0.4394	150.70154
0.4395	142.499126
0.4396	147.552746
0.4397	151.73818
0.4398	153.5523
0.4399	142.99153
0.44	144.261414
0.4401	143.483934
0.4402	139.9464
0.4403	140.20556
0.4404	158.580004
0.4405	165.253374
0.4406	144.818608
0.4407	139.117088
0.4408	147.85078
0.4409	144.429868
0.441	125.43344
0.4411	131.964272
